Deleted,Campaign ID,Campaign Type,Advertiser ID,Created At,Updated At,Disabled,Account ID,Filter Type
,136337,NATIVE,42722,2021-08-29T10:31:39.454257+04:30,2021-08-29T10:51:25.21076+04:30,false,8sMhipnK,KEYWORD
,136334,NATIVE,23224,2021-08-29T10:29:13.111234+04:30,2021-08-29T10:29:13.11125+04:30,false,wrjO9iXX,KEYWORD
,136330,BANNER,42899,2021-08-29T10:23:35.209645+04:30,2021-08-29T10:23:35.209665+04:30,false,fFUYEQ3V,KEYWORD
,136317,BANNER,42899,2021-08-29T10:04:23.131842+04:30,2021-08-29T10:04:23.13187+04:30,false,fFUYEQ3V,KEYWORD
,136315,NATIVE,40326,2021-08-29T09:53:45.802755+04:30,2021-08-29T09:53:45.802772+04:30,false,7zBGWfje,KEYWORD
,136311,NATIVE,42899,2021-08-29T09:49:37.844094+04:30,2021-08-29T09:49:37.844113+04:30,false,fFUYEQ3V,KEYWORD
,136308,NATIVE,42899,2021-08-29T09:46:50.936502+04:30,2021-08-29T09:46:50.936524+04:30,false,fFUYEQ3V,KEYWORD
,136281,NATIVE,8713,2021-08-29T02:12:39.375272+04:30,2021-08-29T02:12:39.375291+04:30,false,rzzjrhaR,KEYWORD
,136276,BANNER,6399,2021-08-29T02:01:23.447058+04:30,2021-08-29T02:01:23.447076+04:30,false,fb5dGyql,KEYWORD
,136275,BANNER,39776,2021-08-29T01:54:54.646058+04:30,2021-08-29T01:54:54.646075+04:30,false,yxzJ8eZq,KEYWORD
,136252,NATIVE,42946,2021-08-28T23:07:25.279335+04:30,2021-08-29T22:18:46.79518+04:30,false,zu1cs3is,KEYWORD
,136251,NATIVE,42946,2021-08-28T23:00:52.091381+04:30,2021-08-29T22:19:39.876297+04:30,false,zu1cs3is,KEYWORD
,136248,NATIVE,19819,2021-08-28T22:44:08.063239+04:30,2021-08-28T22:44:08.063265+04:30,false,eXmemMgs,KEYWORD
,136236,BANNER,37613,2021-08-28T19:45:04.344609+04:30,2021-08-28T19:45:04.344649+04:30,false,50IJXgjb,KEYWORD
,136228,NATIVE,33132,2021-08-28T18:56:04.619944+04:30,2021-08-28T20:07:25.005984+04:30,false,1HjfH0ai,KEYWORD
,136227,NATIVE,33132,2021-08-28T18:47:45.874302+04:30,2021-08-28T20:09:22.051438+04:30,false,1HjfH0ai,KEYWORD
,136222,NATIVE,26020,2021-08-28T18:26:00.934007+04:30,2021-08-29T15:34:56.615609+04:30,false,70RnPHrs,KEYWORD
,136221,BANNER,11886,2021-08-28T18:18:17.235697+04:30,2021-08-28T18:32:18.54322+04:30,false,xuM2FAd7,KEYWORD
,136217,NATIVE,43027,2021-08-28T18:05:48.497162+04:30,2021-08-30T09:12:33.075854+04:30,false,1lT2k7zV,KEYWORD
,136216,BANNER,31543,2021-08-28T18:02:36.066828+04:30,2021-08-28T18:02:36.066852+04:30,false,IVmWgFfA,KEYWORD
,136211,BANNER,39787,2021-08-28T17:40:12.016572+04:30,2021-08-28T17:40:12.016599+04:30,false,pjNnc4Mp,KEYWORD
,136208,NATIVE,29175,2021-08-28T17:27:11.680257+04:30,2021-08-28T17:27:11.680274+04:30,false,GmgpyR34,KEYWORD
,136201,NATIVE,30809,2021-08-28T17:12:54.108028+04:30,2021-08-28T17:12:54.108048+04:30,false,dNG6uXqH,KEYWORD
,136198,NATIVE,42974,2021-08-28T17:07:58.426422+04:30,2021-08-28T17:07:58.426444+04:30,false,IJS2eJzG,KEYWORD
,136190,NATIVE,8573,2021-08-28T17:00:54.518367+04:30,2021-08-28T17:00:54.518394+04:30,false,UhiHiOcf,KEYWORD
,136188,NATIVE,35529,2021-08-28T16:59:02.603536+04:30,2021-08-28T16:59:02.603556+04:30,false,YY9a5Nt7,KEYWORD
,136172,NATIVE,32875,2021-08-28T16:44:33.839037+04:30,2021-08-28T16:44:33.839063+04:30,false,9CTj4CI1,KEYWORD
,136165,NATIVE,43015,2021-08-28T16:29:32.839107+04:30,2021-08-29T14:49:12.411396+04:30,false,btiUEQGK,KEYWORD
,136164,NATIVE,8573,2021-08-28T16:28:33.373054+04:30,2021-08-28T16:28:33.373079+04:30,false,UhiHiOcf,KEYWORD
,136158,NATIVE,3319,2021-08-28T16:09:05.113375+04:30,2021-08-28T16:09:05.113397+04:30,false,WNCj8OFP,KEYWORD
,136149,BANNER,1603,2021-08-28T15:38:18.680097+04:30,2021-08-28T15:38:18.680125+04:30,false,7DJAdfnn,KEYWORD
,136147,BANNER,1603,2021-08-28T15:33:49.583183+04:30,2021-08-28T15:33:49.583215+04:30,false,7DJAdfnn,KEYWORD
,136145,BANNER,42366,2021-08-28T15:25:54.74718+04:30,2021-08-28T15:25:54.747202+04:30,false,PBLgKzL2,KEYWORD
,136139,BANNER,42682,2021-08-28T15:17:26.02236+04:30,2021-08-28T15:17:26.022379+04:30,false,rhvFs8Ny,KEYWORD
,136109,NATIVE,22675,2021-08-28T14:41:13.117496+04:30,2021-08-28T14:41:13.117523+04:30,false,Lo4tntHk,KEYWORD
,136102,NATIVE,42999,2021-08-28T14:27:35.665009+04:30,2021-08-28T14:27:35.665028+04:30,false,QsI1Lcka,KEYWORD
,136095,BANNER,40942,2021-08-28T14:20:55.797901+04:30,2021-08-28T14:20:55.79792+04:30,false,ByBGOiRR,KEYWORD
,136076,BANNER,38246,2021-08-28T13:44:14.508832+04:30,2021-08-28T13:44:14.508849+04:30,false,ga7DQW8n,KEYWORD
,136060,BANNER,31817,2021-08-28T13:11:01.094485+04:30,2021-08-29T10:14:12.406446+04:30,false,36y6wkjU,KEYWORD
,136051,BANNER,11799,2021-08-28T12:51:57.798481+04:30,2021-08-28T12:51:57.798497+04:30,false,7oEKCToC,KEYWORD
,136050,BANNER,17711,2021-08-28T12:50:51.307827+04:30,2021-08-28T12:50:51.30785+04:30,false,exXIzbuh,KEYWORD
,136048,BANNER,41171,2021-08-28T12:47:48.763591+04:30,2021-08-28T17:48:40.622144+04:30,false,ouf75gZG,KEYWORD
,136045,BANNER,27984,2021-08-28T12:43:23.197991+04:30,2021-08-28T17:57:56.410163+04:30,false,W3rwm6uu,KEYWORD
,136038,BANNER,17711,2021-08-28T12:34:53.352714+04:30,2021-08-28T12:53:47.678634+04:30,false,exXIzbuh,KEYWORD
